x,T,u,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR,Y_N2
3.88769531e-02,1.38355133e+03,9.50541679e+00,7.68154919e-03,1.55374460e-03,4.85651083e-03,9.41253874e-02,4.13736681e-03,1.40444759e-01,9.01252940e-05,6.95148834e-06,-1.84558089e-76,7.47103606e-01
3.88828125e-02,1.36508796e+03,9.38280553e+00,8.06194228e-03,1.51271062e-03,4.65900749e-03,9.86828110e-02,3.90179988e-03,1.36140810e-01,9.53731263e-05,7.28195680e-06,-1.84489756e-76,7.46938263e-01
3.88886719e-02,1.34575564e+03,9.25440417e+00,8.46515716e-03,1.46785050e-03,4.44763470e-03,1.03439007e-01,3.66515400e-03,1.31626914e-01,1.00953092e-04,7.66072537e-06,-1.84417865e-76,7.46779668e-01
3.88945313e-02,1.32553638e+03,9.12013423e+00,8.89066609e-03,1.41928015e-03,4.22323399e-03,1.08373033e-01,3.42885960e-03,1.26918303e-01,1.06872586e-04,8.11129831e-06,-1.84343198e-76,7.46631641e-01
3.89003906e-02,1.30441645e+03,8.97994705e+00,9.33765623e-03,1.36717576e-03,3.98698354e-03,1.13459844e-01,3.19449885e-03,1.22033895e-01,1.13140497e-04,8.66805395e-06,-1.84266753e-76,7.46498138e-01
3.89062500e-02,1.28238690e+03,8.83382626e+00,9.80502966e-03,1.31177481e-03,3.74041635e-03,1.18670483e-01,2.96379368e-03,1.16996183e-01,1.19768440e-04,9.37903018e-06,-1.84189749e-76,7.46383172e-01
3.89121094e-02,1.25944405e+03,8.68178900e+00,1.02914142e-02,1.25337487e-03,3.48542157e-03,1.23972493e-01,2.73858129e-03,1.11830939e-01,1.26772282e-04,1.03084734e-05,-1.84113633e-76,7.46290695e-01
3.89179687e-02,1.23558971e+03,8.52388553e+00,1.07951862e-02,1.19233010e-03,3.22422779e-03,1.29330558e-01,2.52077629e-03,1.06566744e-01,1.34174012e-04,1.15387811e-05,-1.84040056e-76,7.46224464e-01
3.89238281e-02,1.21083129e+03,8.36019724e+00,1.13145039e-02,1.12904520e-03,2.95936698e-03,1.34707368e-01,2.31232016e-03,1.01234339e-01,1.42003954e-04,1.31714426e-05,-1.83970847e-76,7.46187882e-01
3.89296875e-02,1.18518162e+03,8.19083301e+00,1.18473528e-02,1.06396722e-03,2.69361903e-03,1.40064674e-01,2.11511913e-03,9.58658118e-02,1.50303310e-04,1.53265908e-05,-1.83907965e-76,7.46183826e-01
3.89355469e-02,1.15865860e+03,8.01592403e+00,1.23915984e-02,9.97575160e-04,2.42993768e-03,1.45364489e-01,1.93097355e-03,9.04936708e-02,1.59127027e-04,1.81408071e-05,-1.83853433e-76,7.46214487e-01
3.89414062e-02,1.13128466e+03,7.83561750e+00,1.29450458e-02,9.30368175e-04,2.17135982e-03,1.50570371e-01,1.76150232e-03,8.51498292e-02,1.68546953e-04,2.17628685e-05,-1.83809260e-76,7.46281214e-01
3.89472656e-02,1.10308599e+03,7.65006946e+00,1.35055017e-02,8.62852884e-04,1.92090143e-03,1.55648707e-01,1.60806736e-03,7.98645798e-02,1.78655309e-04,2.63471874e-05,-1.83777355e-76,7.46384387e-01
3.89531250e-02,1.07409175e+03,7.45943765e+00,1.40708352e-02,7.95530646e-04,1.68144463e-03,1.60569918e-01,1.47170273e-03,7.46656189e-02,1.89568502e-04,3.20447975e-05,-1.83759433e-76,7.46523336e-01
3.89589844e-02,1.04433321e+03,7.26387489e+00,1.46390338e-02,7.28885662e-04,1.45562134e-03,1.65309478e-01,1.35305275e-03,6.95771931e-02,2.01431291e-04,3.89919100e-05,-1.83756933e-76,7.46696312e-01
3.89648437e-02,1.01384292e+03,7.06352390e+00,1.52082497e-02,6.63374765e-04,1.24569992e-03,1.69848691e-01,1.25232192e-03,6.46194351e-02,2.14421034e-04,4.72963169e-05,-1.83770934e-76,7.46900510e-01
3.89707031e-02,9.82654458e+02,6.85851624e+00,1.57768353e-02,5.99419630e-04,1.05348206e-03,1.74175136e-01,1.16923762e-03,5.98079490e-02,2.28750520e-04,5.70222408e-05,-1.83802105e-76,7.47132167e-01
3.89765625e-02,9.50803702e+02,6.64898390e+00,1.63433628e-02,5.37402001e-04,8.80217309e-04,1.78282755e-01,1.10302670e-03,5.51536892e-02,2.44663386e-04,6.81745590e-05,-1.83850664e-76,7.47386709e-01
3.89794922e-02,9.34637776e+02,6.54254192e+00,1.66254155e-02,5.07251358e-04,8.01114699e-04,1.80251830e-01,1.07592759e-03,5.28893863e-02,2.53336642e-04,7.42835265e-05,-1.83881581e-76,7.47521455e-01
3.89824219e-02,9.18314193e+02,6.43498187e+00,1.69065296e-02,4.77715137e-04,7.27089752e-04,1.82164272e-01,1.05263142e-03,5.06680292e-02,2.62535972e-04,8.07293593e-05,-1.83916933e-76,7.47660468e-01
3.89853516e-02,9.01837552e+02,6.32631686e+00,1.71865863e-02,4.48829809e-04,6.58119594e-04,1.84021148e-01,1.03288025e-03,4.84897098e-02,2.72312267e-04,8.74874139e-05,-1.83956606e-76,7.47802926e-01
3.89882812e-02,8.85212475e+02,6.21655992e+00,1.74654791e-02,4.20629605e-04,5.94143409e-04,1.85823791e-01,1.01638487e-03,4.63543138e-02,2.82720490e-04,9.45267645e-05,-1.84000489e-76,7.47948011e-01
3.89912109e-02,8.68443708e+02,6.10572481e+00,1.77431120e-02,3.93146775e-04,5.35063350e-04,1.87573756e-01,1.00282197e-03,4.42615553e-02,2.93820185e-04,1.01809894e-04,-1.84048430e-76,7.48094914e-01
3.89941406e-02,8.51536247e+02,5.99382702e+00,1.80193984e-02,3.66411865e-04,4.80746225e-04,1.89272780e-01,9.91831558e-04,4.22110162e-02,3.05675753e-04,1.09292463e-04,-1.84100268e-76,7.48242847e-01
3.89970703e-02,8.34495477e+02,5.88088494e+00,1.82942592e-02,3.40454029e-04,4.31025929e-04,1.90922730e-01,9.83014364e-04,4.02021882e-02,3.18356546e-04,1.16923152e-04,-1.84155825e-76,7.48391048e-01
3.90000000e-02,8.17327341e+02,5.76692115e+00,1.85676209e-02,3.15301354e-04,3.85706546e-04,1.92525555e-01,9.75929493e-04,3.82345185e-02,3.31936740e-04,1.24643584e-04,-1.84214907e-76,7.48538788e-01
3.90029297e-02,8.00038534e+02,5.65196395e+00,1.88394134e-02,2.90981188e-04,3.44566101e-04,1.94083226e-01,9.70092343e-04,3.63074581e-02,3.46494901e-04,1.32388326e-04,-1.84277318e-76,7.48685380e-01
3.90058594e-02,7.82636722e+02,5.53604905e+00,1.91095681e-02,2.67520454e-04,3.07360845e-04,1.95597687e-01,9.64973210e-04,3.44205117e-02,3.62113105e-04,1.40084963e-04,-1.84342869e-76,7.48830180e-01
3.90087891e-02,7.65130796e+02,5.41922147e+00,1.93780152e-02,2.44945937e-04,2.73829999e-04,1.97070794e-01,9.59997060e-04,3.25732886e-02,3.78875419e-04,1.47654272e-04,-1.84411345e-76,7.48972600e-01
3.90117188e-02,7.47531153e+02,5.30153775e+00,1.96446815e-02,2.23284507e-04,2.43700830e-04,1.98504257e-01,9.54545179e-04,3.07655528e-02,3.96865474e-04,1.55010498e-04,-1.84482611e-76,7.49112102e-01
3.90146484e-02,7.29850017e+02,5.18306830e+00,1.99094879e-02,2.02563267e-04,2.16693946e-04,1.99899588e-01,9.47959575e-04,2.89972721e-02,4.16162760e-04,1.62061766e-04,-1.84556429e-76,7.49248211e-01
3.90175781e-02,7.12101786e+02,5.06390000e+00,2.01723469e-02,1.82809578e-04,1.92528648e-04,2.01258044e-01,9.39551224e-04,2.72686628e-02,4.36837186e-04,1.68710678e-04,-1.84632797e-76,7.49380509e-01
3.90205078e-02,6.94303413e+02,4.94413911e+00,2.04331606e-02,1.64050927e-04,1.70928211e-04,2.02580578e-01,9.28613331e-04,2.55802294e-02,4.58941328e-04,1.74855161e-04,-1.84709927e-76,7.49508643e-01
3.90234375e-02,6.76474813e+02,4.82391429e+00,2.06918183e-02,1.46314605e-04,1.51624920e-04,2.03867795e-01,9.14440815e-04,2.39327961e-02,4.82499698e-04,1.80389644e-04,-1.84791953e-76,7.49632321e-01
3.90263672e-02,6.58639288e+02,4.70337976e+00,2.09481951e-02,1.29627142e-04,1.34364718e-04,2.05119912e-01,8.96357023e-04,2.23275278e-02,5.07494352e-04,1.85206691e-04,-1.84875517e-76,7.49751315e-01
3.90292969e-02,6.40823958e+02,4.58271858e+00,2.12021505e-02,1.14013473e-04,1.18911309e-04,2.06336737e-01,8.73748224e-04,2.07659383e-02,5.33846218e-04,1.89199179e-04,-1.84962019e-76,7.49865456e-01
3.90322266e-02,6.23060181e+02,4.46214578e+00,2.14535271e-02,9.94958107e-05,1.05049554e-04,2.07517647e-01,8.46105585e-04,1.92498830e-02,5.61391891e-04,1.92263146e-04,-1.85051326e-76,7.49974637e-01
3.90351563e-02,6.05383930e+02,4.34191128e+00,2.17021512e-02,8.60922222e-05,9.25880451e-05,2.08661598e-01,8.13073052e-04,1.77815338e-02,5.89856240e-04,1.94301353e-04,-1.85144726e-76,7.50078806e-01
3.90380859e-02,5.87836104e+02,4.22230223e+00,2.19478323e-02,7.38149443e-05,8.13606911e-05,2.09767148e-01,7.74497830e-04,1.63633366e-02,6.18822330e-04,1.95227544e-04,-1.85242030e-76,7.50177960e-01
3.90410156e-02,5.70462718e+02,4.10364458e+00,2.21903645e-02,6.26685190e-05,7.12272310e-05,2.10832498e-01,7.30478188e-04,1.49979494e-02,6.47701712e-04,1.94971221e-04,-1.85345859e-76,7.50272141e-01
3.90439453e-02,5.53314919e+02,3.98630334e+00,2.24295277e-02,5.26478774e-05,6.20725775e-05,2.11855572e-01,6.81401332e-04,1.36881642e-02,6.75710224e-04,1.93482607e-04,-1.85457537e-76,7.50361421e-01
3.90468750e-02,5.36448763e+02,3.87068114e+00,2.26650892e-02,4.37365585e-05,5.38049659e-05,2.12834111e-01,6.27962841e-04,1.24368151e-02,7.01856588e-04,1.90737257e-04,-1.85580640e-76,7.50445887e-01
3.90498047e-02,5.19924686e+02,3.75721445e+00,2.28968054e-02,3.59052925e-05,4.63529611e-05,2.13765789e-01,5.71159140e-04,1.12466753e-02,7.24952751e-04,1.86739658e-04,-1.85711740e-76,7.50525621e-01
3.90527344e-02,5.03806587e+02,3.64636710e+00,2.31244233e-02,2.91111914e-05,3.96614855e-05,2.14648353e-01,5.12246649e-04,1.01203494e-02,7.43655159e-04,1.81525160e-04,-1.85860670e-76,7.50600675e-01
3.90556641e-02,4.88160491e+02,3.53862059e+00,2.33476816e-02,2.32977685e-05,3.36871673e-05,2.15479754e-01,4.52665750e-04,9.06016264e-03,7.56543829e-04,1.75159775e-04,-1.86034523e-76,7.50671048e-01
3.90585938e-02,4.73052755e+02,3.43446113e+00,2.35663121e-02,1.83959315e-05,2.83934375e-05,2.16258276e-01,3.93934285e-04,8.06805255e-03,7.62240350e-04,1.67737805e-04,-1.86236015e-76,7.50736658e-01
3.90615234e-02,4.58547874e+02,3.33436361e+00,2.37800402e-02,1.43259750e-05,2.37458984e-05,2.16982639e-01,3.37522660e-04,7.14546362e-03,7.59556946e-04,1.59377788e-04,-1.86469441e-76,7.50797328e-01
3.90644531e-02,4.44705991e+02,3.23877343e+00,2.39885860e-02,1.10004455e-05,1.97084975e-05,2.17652072e-01,2.84728497e-04,6.29324950e-03,7.47657820e-04,1.50217718e-04,-1.86736856e-76,7.50852780e-01
3.90673828e-02,4.31580307e+02,3.14808751e+00,2.41916671e-02,8.32761286e-06,1.62409415e-05,2.18266345e-01,2.36571082e-04,5.51158638e-03,7.26204556e-04,1.40410569e-04,-1.87037281e-76,7.50902647e-01
3.90703125e-02,4.19214634e+02,3.06263624e+00,2.43890013e-02,6.21517443e-06,1.32975866e-05,2.18825780e-01,1.93722981e-04,4.79990513e-03,6.95453396e-04,1.30120838e-04,-1.87365982e-76,7.50946503e-01
3.90732422e-02,4.07641381e+02,2.98266851e+00,2.45803120e-02,4.57379153e-06,1.08277760e-05,2.19331238e-01,1.56488572e-04,4.15685141e-03,6.56277090e-04,1.19521998e-04,-1.87254505e-76,7.50983910e-01
3.90747070e-02,4.02166029e+02,2.94484874e+00,2.46736198e-02,3.89886138e-06,9.75371940e-06,2.19563574e-01,1.40009912e-04,3.86095401e-03,6.33952456e-04,1.14170243e-04,-1.87255545e-76,7.51000067e-01
3.90761719e-02,3.96900436e+02,2.90849137e+00,2.47653094e-02,3.31180784e-06,8.78039398e-06,2.19782434e-01,1.24934492e-04,3.58193860e-03,6.10047156e-04,1.08808954e-04,-1.87144585e-76,7.51014435e-01
3.90776367e-02,3.91844574e+02,2.87359759e+00,2.48553553e-02,2.80335191e-06,7.90060123e-06,2.19988107e-01,1.11214463e-04,3.31935836e-03,5.84822978e-04,1.03461657e-04,-1.87044881e-76,7.51026976e-01
3.90791016e-02,3.86998235e+02,2.84016774e+00,2.49437201e-02,2.36483495e-06,7.10728162e-06,2.20180890e-01,9.87901652e-05,3.07276554e-03,5.58560055e-04,9.81525889e-05,-1.86917986e-76,7.51037649e-01
3.90805664e-02,3.82359964e+02,2.80819308e+00,2.50303760e-02,1.98819515e-06,6.39347073e-06,2.20361126e-01,8.75910360e-05,2.84164560e-03,5.31541287e-04,9.29049674e-05,-1.86753129e-76,7.51046433e-01
3.90820313e-02,3.77927527e+02,2.77765921e+00,2.51152979e-02,1.66601602e-06,5.75243097e-06,2.20529185e-01,7.75394661e-05,2.62545020e-03,5.04047835e-04,8.77411756e-05,-1.86560721e-76,7.51053320e-01
3.90834961e-02,3.73697962e+02,2.74854642e+00,2.51984630e-02,1.39152489e-06,5.17770745e-06,2.20685461e-01,6.85534265e-05,2.42360240e-03,4.76352503e-04,8.26824534e-05,-1.86109854e-76,7.51058316e-01
